物件番号,日付,件名,地名地番,住居表示,構造,階数（地上）,階数（地下）,延床面積,敷地面積,建築主,建築主住所,設計者,施工者,着工,完成,備考
10095700,2025/01/23,京都市標識設置情報,京都府京都市南区東九条石田町35-9ほか,京都府京都市南区東九条石田町,,4 階,階,559.47 ㎡,211.35 ㎡,,,株式会社SAGANE設計一級建築士事務所,,,,共同住宅(賃貸、17戸)
10095575,2025/01/22,京都市標識設置情報,京都府京都市右京区西院西貝川町67,京都府京都市右京区西院西貝川町,,7 階,階,2851.61 ㎡,654.03 ㎡,,,株式会社礎一級建築士事務所,,,,共同住宅(賃貸、72戸)
10095574,2025/01/22,京都市標識設置情報,京都府京都市伏見区向島二ノ丸町151-114ほか,京都府京都市伏見区向島二ノ丸町,,3 階,階,622.15 ㎡,514.17 ㎡,,,大東建託株式会社滋賀支店一級建築士事務所,,,,共同住宅(賃貸、20戸)
10095573,2025/01/21,京都市標識設置情報,京都府京都市中京区押小路通富小路上る橘町635-2,京都府京都市中京区橘町,,5 階,1 階,1558.2 ㎡,365.3 ㎡,,,株式会社A-Studio一級建築士事務所,,,,事務所付共同住宅(賃貸、17戸)
10095571,2025/01/21,京都市標識設置情報,京都府京都市山科区竹鼻西ノ口町27-1,京都府京都市山科区竹鼻西ノ口町,,3 階,階,683.64 ㎡,385.21 ㎡,,,株式会社SAGANE設計一級建築士事務所,,,,共同住宅(賃貸、18戸)
10095570,2025/01/20,京都市標識設置情報,京都府京都市伏見区羽束師古川町151,京都府京都市伏見区羽束師古川町,,3 階,階,930.1 ㎡,1187.82 ㎡,,,大東建託株式会社京都西支店一級建築士事務所,,,,共同住宅(賃貸、18戸)
10095437,2025/01/17,京都市標識設置情報,京都府京都市右京区西院清水町151,京都府京都市右京区西院清水町,,5 階,階,786.57 ㎡,228.17 ㎡,,,株式会社山米工務店一級建築士事務所,,,,共同住宅(賃貸、18戸)
10095436,2025/01/17,京都市標識設置情報,京都府京都市伏見区深草北鍵屋町970ほか,京都府京都市伏見区深草北鍵屋町,,3 階,階,645.34 ㎡,303.97 ㎡,,,株式会社國分建築事務所,,,,共同住宅(賃貸、17戸)
10095435,2025/01/17,京都市標識設置情報,京都府京都市下京区鍵屋町通烏丸西入鍵屋町341,京都府京都市下京区鍵屋町,,5 階,階,538 ㎡,184.77 ㎡,,,一級建築士事務所株式会社プレーリー,,,,共同住宅(賃貸、13戸)
10095434,2025/01/16,京都市標識設置情報,京都府京都市左京区松ケ崎小竹藪町26-1,京都府京都市左京区松ケ崎小竹藪町,,3 階,階,997.91 ㎡,1117.3 ㎡,,,大東建託株式会社京都西支店一級建築士事務所,,,,共同住宅(賃貸、15戸)
10095364,2025/01/15,京都市標識設置情報,京都府京都市右京区山ノ内宮脇町1-5ほか,京都府京都市右京区山ノ内宮脇町,,5 階,階,2858.26 ㎡,1050.59 ㎡,株式会社ワールド・エステート,,株式会社TKI設計,,,,共同住宅(72戸)
10095363,2025/01/15,京都市標識設置情報,京都府京都市西京区桂上野西町169ほか,京都府京都市西京区桂上野西町,,3 階,階,998.26 ㎡,973.95 ㎡,,,大和ハウス工業株式会社京都支店,,,,共同住宅(15戸)
